SPBC30D10.15	SPAC29A4.04C
SPBC725.13C	SPBP4H10.21C
SPAC22H12.02	SPCC1620.09C
SPCC645.04	SPCC550.05
SPCC645.04	SPBC20F10.04C
SPAC6B12.13	SPBC776.02C
SPAC1486.03C	SPCC10H11.02
SPAC1486.03C	SPBC16H5.10C
SPBC651.10	SPAC11E3.08C
SPAC14C4.02C	SPAC328.04
SPCC645.04	SPBC3B8.02
SPCC645.04	SPBC30D10.15
SPCC645.04	SPBC1289.08
SPBC651.10	SPAC19A8.10
SPBC651.10	SPAC25B8.14
SPBC651.10	SPBC365.06
SPBC651.10	SPBC28E12.01C
SPBC651.10	SPAC30D11.13
SPBC651.10	SPBC16A3.09C
SPAC17H9.02	SPAC12G12.13C
SPAC9.03C	SPAC4F8.12C
SPBC9B6.05C	SPAC2F3.17C
SPBC9B6.05C	SPBC19G7.10C
SPBC20F10.09	SPBC3D6.08C
SPBC20F10.09	SPAC2F3.17C
SPBC20F10.09	SPBC19G7.10C
SPAC2F3.17C	SPBC3D6.08C
SPAC2F3.17C	SPBC19G7.10C
SPAC29E6.02	SPAC227.12
SPCC757.08	SPBC17D1.03C
SPCC757.08	SPAC3G9.10C
SPBC115.01C	SPBC17D1.03C
SPAPB1E7.10	SPBC2G5.07C
SPCC290.02	SPBC839.12
SPCC290.02	SPAPB1E7.03
SPBC1289.07C	SPAC1687.01
SPAC23C4.15	SPBC4C3.05C
SPAC23C4.15	SPBC28F2.12
SPBC1289.07C	SPBP23A10.07
SPAC6G10.07	SPBC13A2.01C
SPCC1281.05	SPAC17G6.10
SPAC17G6.10	SPAC23G3.10C
SPAC17G6.10	SPAC17G6.10
SPBC1703.02	SPAC17G6.10
SPBC14F5.08	SPBC1105.06
SPBC23E6.05	SPBC2D10.19C
SPBC2D10.19C	SPBC23E6.05
SPBC106.14C	SPBC2D10.11C
SPBC17G9.02C	SPBC17G9.02C
SPAC23C11.11	SPAC1851.03
SPAC637.10C	SPAC607.05
SPCC1682.10	SPAC607.05
SPAC4A8.16C	SPAC2F7.05C
SPAC25G10.08	SPAC4D7.05
SPAC25G10.08	SPBC18H10.03
SPBC18H10.03	SPAC25G10.08
SPBC14F5.06	SPAC3A12.13C
SPBC18H10.03	SPAC4D7.05
SPAC1B1.03C	SPCC962.03C
SPAC29A4.08C	SPAC644.12
SPAC29A4.08C	SPBC31F10.11C
SPAC29A4.08C	SPAC29A4.08C
SPBC354.01	SPCC1393.09C
SPAC4A8.13C	SPAC31A2.04C
SPAC4A8.13C	SPBC4C3.10C
SPCC1442.06	SPAC13C5.01C
SPCC1442.06	SPAC23D3.07
SPCC31H12.08C	SPCC18.06C
SPAC16C9.06C	SPAC16C9.06C
SPBC119.11C	SPBC119.11C
SPCC584.04	SPAC1834.01
SPBC651.11C	SPAC23H3.06
SPAC22H10.07	SPBC1289.04C
SPAC22H10.07	SPAC16E8.09
SPAC644.18C	SPAC3G9.16C
SPAC644.18C	SPBC11G11.04
SPBC11G11.04	SPAC644.18C
SPAC644.18C	SPBC1718.05
SPAC644.18C	SPAC13G6.05C
SPAC8E11.02C	SPAC8E11.02C
SPAC12B10.07	SPAC631.01C
SPBP16F5.02	SPBC776.18C
SPCC31H12.08C	SPAC20G8.06
SPCC18.06C	SPCC31H12.08C
SPBC11B10.09	SPBC1734.14C
SPAC4F10.11	SPAC821.06
SPAC4F10.11	SPAC9G1.11C
SPAC20G8.06	SPCC18.06C
SPCC18.06C	SPAC20G8.06
SPBC1711.10C	SPAC1565.08
SPAC1565.08	SPAC343.09
SPAC31F12.01	SPAC227.07C
SPAC644.12	SPBC31F10.11C
SPBC31F10.11C	SPAC644.12
SPAC644.12	SPAC29A4.08C
SPAC644.12	SPBC211.02C
SPBC2F12.08C	SPAC644.04
SPAC26A3.05	SPBC9B6.08
SPBC31F10.11C	SPBC32F12.05C
SPCC188.11	SPBC31F10.11C
SPAC4G9.04C	SPAC22H10.05C
SPBP23A10.15C	SPCC613.10
SPAC22F8.10C	SPBC31F10.11C
SPCC306.09C	SPBC19C7.03
SPAC19A8.12	SPBC3B9.21
SPAC19A8.12	SPBC18E5.11C
SPBC16D10.04C	SPBC660.13C
SPBC887.04C	SPAC1565.08
SPBC1A4.01	SPBP23A10.04
SPBC1A4.01	SPAC6F12.14
SPBP8B7.14C	SPBC25H2.13C
SPAC17G8.03C	SPBC3D6.09
SPAC6F12.08C	SPAC13F5.06C
SPAC6F12.08C	SPCC622.10C
SPAC22G7.10	SPBC646.04
SPAC18G6.03	SPAC22H10.12C
SPBC725.11C	SPBC3B8.02
SPAC2F3.06C	SPAC14C4.06C
SPCP1E11.08	SPBC651.01C
SPAC4F10.15C	SPAPJ696.02
SPBC3D6.08C	SPCC1620.01C
SPBC3D6.08C	SPBC9B6.05C
SPBC3D6.08C	SPBC30D10.06
SPBC3D6.08C	SPBC20F10.09
SPBC3D6.08C	SPAC2F3.17C
SPBC3D6.08C	SPBC19G7.10C
SPBC20F10.09	SPCC1620.01C
SPCC285.12	SPBC3D6.08C
SPCC285.12	SPCC1620.01C
SPCC285.12	SPAC2F3.17C
SPCC285.12	SPBC19G7.10C
SPCC285.12	SPBC1861.04C
SPCC285.12	SPAC227.12
SPBC15D4.06	SPBC1861.03
SPBC14F5.08	SPBC1604.10
SPBC1703.04	SPAC19G12.02C
SPAC19G12.02C	SPBC1703.04
SPCC645.05C	SPAC926.03
SPBC1711.10C	SPBC16A3.09C
SPBC13A2.02	SPAC26A3.15C
SPAC1486.05	SPBC13A2.02
SPBC685.09	SPAC3H1.01C
SPAC27F1.07	SPCC338.15
SPAC22G7.04	SPBC336.14C
SPAC4G9.04C	SPAC6F12.17
SPAC4G9.04C	SPBC3B9.11C
SPBP8B7.01C	SPAC25B8.16
SPBP8B7.01C	SPBC1703.01C
